price_band,rating_mult,sponsored_option,position_cat_stand,prime_option,subcategory
True,49.0,False,0.01893786810381747,True,Boxing Training Gloves
False,41.0,False,0.2691180773161124,True,Boxing Training Gloves
True,47.0,False,0.15418064171440443,False,Boxing Training Gloves
True,46.0,False,0.054067003905239636,True,Boxing Training Gloves
False,40.0,False,0.14745141771647366,False,Bag Gloves
False,,False,0.418171236913631,False,Boxing Training Gloves
True,49.0,False,0.16566738891692143,False,Training Gloves
False,42.0,False,0.2974904277106646,False,Training Gloves
False,50.0,False,0.799007365256512,False,Boxing Fight Gloves
False,39.0,False,0.10174188104495901,False,Boxing Training Gloves
True,,False,0.2798680868566001,False,Boxing Sets
False,45.0,True,0.11860840326157474,False,Boxing Fight Gloves
True,,True,0.058883890144464185,True,Boxing Gloves
True,46.0,True,0.0001844494290548133,True,Boxing Training Gloves
True,48.0,False,0.126813222691944,False,Boxing Training Gloves
False,44.0,False,0.03883932546631784,False,Boxing Training Gloves
True,,False,0.97617316197204,False,Boxing Fight Gloves
False,42.0,False,0.4225969631567566,False,Boxing Training Gloves
True,46.0,False,0.5578323163880138,False,Boxing Training Gloves
False,45.0,False,0.06611133961168095,False,Boxing Training Gloves
True,46.0,False,0.15139799946573268,True,Boxing Fight Gloves
True,47.0,False,0.033506192836577804,True,Boxing Training Gloves
False,43.0,False,0.08869155391223599,True,Training Gloves
False,46.0,False,0.013330181438875155,False,Boxing Fight Gloves
False,30.0,False,0.4212443340103546,False,Martial Arts Hand Wraps
False,,False,0.7380203275991468,False,Boxing Training Gloves
False,44.0,False,0.01630045327917163,False,Boxing Training Gloves
False,43.0,False,0.09735007653591252,False,Boxing Training Gloves
False,46.0,False,0.19033697002590771,False,Boxing Training Gloves
True,44.0,False,0.21201507821079812,False,Boxing Training Gloves
False,34.0,False,0.24967774352624905,False,Boxing Training Gloves
False,44.0,False,0.11273570304913987,False,Training Gloves
True,48.0,False,0.09712216488506892,True,Boxing Sets
False,45.0,False,0.009343317630397266,False,Boxing Fight Gloves
False,42.0,False,0.1155798284408299,True,Boxing Training Gloves
True,,False,0.20609043534305474,False,Boxing Sets
False,45.0,False,0.05877046434613738,False,Boxing Training Gloves
False,46.0,False,0.030170202300741612,False,Boxing Training Gloves
False,,True,0.12653760860255175,False,Boxing Training Gloves
True,50.0,True,0.11340459724301107,True,Boxing Training Gloves
False,46.0,True,0.011396642596369527,False,Training Gloves
False,46.0,True,0.02770027603811107,False,Boxing Training Gloves
True,46.0,True,0.054067003905239636,True,Boxing Training Gloves
True,49.0,True,0.008711525333175032,True,Boxing Training Gloves
False,45.0,False,8.586438938758549e-05,True,Boxing Training Gloves
True,,False,0.5574093547662157,True,Boxing Training Gloves
False,50.0,False,0.20391944436199577,False,Boxing Fight Gloves
False,50.0,False,0.25563630812807153,False,Boxing Fight Gloves
False,,False,0.8889890051179417,False,Boxing Training Gloves
True,,False,0.720268660133906,False,Boxing Training Gloves
False,,False,0.6131311032619987,False,Boxing Training Gloves
False,50.0,False,0.5194477541691931,False,Boxing Training Gloves
False,50.0,False,0.7657577055339069,False,Boxing Gloves
True,47.0,False,8.904455195749606e-05,False,Boxing Sets
False,45.0,False,0.005801676581706857,False,Boxing Fight Gloves
False,46.0,False,0.15773712352175442,False,Boxing Training Gloves
True,47.0,True,0.005689310837570016,True,Boxing Fight Gloves
True,46.0,True,0.004671658815198633,True,Boxing Fight Gloves
True,46.0,True,0.007347235590683396,True,Boxing Fight Gloves
False,,False,,False,
False,45.0,False,0.0627880697261244,False,Training Gloves
True,50.0,False,0.25474904277106647,False,Boxing Training Gloves
False,48.0,False,0.09963767347786819,False,Boxing Training Gloves
False,50.0,False,0.32988144353939375,False,Boxing Fight Gloves
False,50.0,False,0.7718678578848951,False,Training Gloves
False,43.0,False,0.008161357208580503,False,Boxing Training Gloves
False,50.0,False,0.16031517531176193,False,Boxing Training Gloves
False,45.0,False,0.011902288444985308,False,Boxing Training Gloves
False,46.0,False,0.004628196593409855,True,Boxing Training Gloves
True,50.0,False,0.24382412428923367,False,Boxing Training Gloves
False,39.0,False,0.170092055105857,False,Boxing Gym Equipment
False,43.0,True,0.013919571568498582,False,Boxing Training Gloves
True,44.0,True,0.012113239228789376,True,Boxing Training Gloves
True,47.0,True,0.11059969385634993,True,Boxing Training Gloves
True,,False,,False,
True,,False,,False,
False,,False,0.36662080165538063,False,Boxing Fight Gloves
False,,False,0.164330660583369,False,Boxing Training Gloves
True,46.0,False,0.0056479687241611795,True,Boxing Training Gloves
False,34.0,False,0.16669776158957245,False,Boxing Fight Gloves
False,,False,0.66713980418679,False,Boxing Fight Gloves
False,,False,0.415505200625856,False,Boxing Bag Gloves
False,43.0,False,0.07177414909450171,False,Boxing Training Gloves
True,47.0,False,0.5174845338093683,True,Boxing Fight Gloves
False,,False,0.14011160250512006,False,Boxing Training Gloves
False,47.0,False,0.0018699355911074174,False,Martial Arts Hand Wraps
False,43.0,False,0.006902012830895915,False,Boxing Training Gloves
False,38.0,False,0.23929451273549104,False,Boxing Training Gloves
False,44.0,False,0.013436186857872174,False,Training Gloves
True,46.0,False,0.12895241204730387,False,Boxing Training Gloves
True,44.0,False,0.030564542459410524,True,Boxing Fight Gloves
False,50.0,False,0.4382253420794871,False,Boxing Training Gloves
False,44.0,False,0.07150913554700916,False,Training Gloves
True,45.0,False,0.026726086237528462,True,Boxing Fight Gloves
False,44.0,False,0.002289717050335613,False,Training Gloves
False,42.0,False,0.011907588715935159,False,Boxing Fight Gloves
False,43.0,False,0.07895177601478988,True,Training Gloves
True,50.0,False,0.8019892976928981,False,Training Gloves
True,46.0,True,0.003862837468251377,True,Boxing Training Gloves
False,,True,0.12653760860255175,False,Boxing Training Gloves
True,50.0,True,0.11340459724301107,True,Boxing Training Gloves
False,42.0,True,0.12172708268846703,True,Boxing Training Gloves
False,47.0,True,0.04290145312228361,False,Boxing Training Gloves
False,43.0,True,0.08869155391223599,True,Training Gloves
False,47.0,False,0.018924087399347856,False,Boxing Fight Gloves
False,43.0,False,0.7782705851923151,False,Boxing Fight Gloves
True,,False,,False,
True,46.0,False,0.08393827092440966,True,Boxing Sets
True,,False,,False,
False,30.0,False,0.5227890449759792,False,Boxing Fight Gloves
False,,False,0.42771808494850255,True,Boxing Fight Gloves
True,47.0,False,0.007108723397940103,True,Boxing Fight Gloves
True,44.0,False,0.13587668601618916,True,Boxing Fight Gloves
False,45.0,False,0.002848365608449904,False,Martial Arts Hand Wraps
True,45.0,False,0.06393716846805209,True,Boxing Training Gloves
False,41.0,False,0.030340871025326815,False,Boxing Training Gloves
True,47.0,True,0.005689310837570016,True,Boxing Fight Gloves
False,,True,0.164330660583369,False,Boxing Training Gloves
False,46.0,True,0.002088306754241277,False,Martial Arts Hand Wraps
True,48.0,False,0.03653582771151261,False,Boxing Fight Gloves
False,,False,,False,
False,47.0,False,0.029615793959387203,False,Boxing Fight Gloves
True,45.0,False,0.1315188032412217,True,Boxing Fight Gloves
False,,False,,False,
False,,False,0.49342660396799487,False,Boxing Training Gloves
True,44.0,False,0.01677853771884819,False,Martial Arts Hand Wraps
True,45.0,False,0.033836929743848505,True,Boxing Sets
True,45.0,False,0.5098903055924219,False,Boxing Fight Gloves
False,42.0,False,0.2951455878424505,False,Boxing Bag Gloves
True,50.0,False,,True,
False,,False,0.32576843328230937,False,Boxing Training Gloves
True,47.0,True,0.033506192836577804,True,Boxing Training Gloves
True,46.0,True,0.009027421481786148,True,Boxing Fight Gloves
True,47.0,True,0.11074598133456583,True,Boxing Training Gloves
False,44.0,False,0.007750056182872068,False,Boxing Punch Mitts
False,44.0,False,0.1803947217781773,False,Boxing Training Gloves
True,47.0,False,0.004616535997320183,True,Boxing Pads
False,50.0,False,0.6135106026620081,False,Boxing Fight Gloves
False,46.0,False,0.3321913016193388,False,Boxing Fight Gloves
False,47.0,False,0.0032935883682373842,False,Boxing Fight Gloves
True,50.0,False,0.21663479437068822,True,Training Gloves
True,48.0,False,,False,
True,46.0,False,0.2202315582372571,True,Training Gloves
True,44.0,False,0.22855722384528296,False,Boxing Fight Gloves
False,,False,,False,
False,45.0,False,0.0,False,Martial Arts Hand Wraps
True,47.0,False,0.10144612592595734,True,Boxing Pads
False,46.0,False,0.11236786424522022,True,Boxing Training Gloves
True,44.0,False,0.0803521075997405,True,Boxing Fight Gloves
False,45.0,False,0.21393801651140407,False,Boxing Training Gloves
True,,False,0.9228916582215683,True,Boxing Fight Gloves
True,46.0,False,0.017803610120549363,True,Boxing Fight Gloves
True,46.0,False,0.531789965103016,False,Boxing Training Gloves
False,42.0,False,0.023945564097236652,False,Boxing Gym Equipment
True,46.0,False,0.4050106641451511,True,Boxing Training Gloves
True,44.0,False,0.09513562333306479,True,Training Gloves
True,46.0,False,0.08783184996417016,True,Boxing Fight Gloves
False,50.0,False,0.9995802185407718,False,Boxing Training Gloves
True,49.0,True,0.010937639132112433,True,Boxing Training Gloves
True,46.0,True,0.0037547119408744174,True,Boxing Training Gloves
